hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
1.9305056266e-01,1.4947471858e-04,4.6090848885e-03,3.7513935713e-06,8.3829647130e-11,2.7115497074e-09,-4.8610788507e-10,2
1.9254814327e-01,4.1305585878e-05,4.5626623799e-03,1.3051126206e-06,-6.8427405442e-11,-6.9819913140e-09,-7.3895831265e-11,2
1.9275091576e-01,7.1777494533e-05,4.5878651040e-03,2.3477865250e-06,-1.8240692816e-10,-1.6939228892e-08,-1.6155607630e-10,2
1.9257739477e-01,1.9572780870e-05,4.5758073906e-03,6.1761843968e-07,-1.2160909025e-11,-1.7311431505e-09,-3.0498138614e-11,2
1.9288043840e-01,6.6331336391e-05,4.6121350947e-03,1.9457009056e-06,-1.8209661156e-10,-1.4963763591e-08,2.8522615866e-11,2
1.9357788538e-01,3.5942822185e-04,4.6222029392e-03,9.8019772060e-06,1.4053637378e-09,1.0582705297e-07,-1.5420657791e-09,2
1.9357101262e-01,3.7801224529e-04,4.6129105472e-03,1.0033530003e-05,1.2967136570e-09,9.5893610008e-08,-1.7256886358e-09,2
1.9391175022e-01,2.9079222690e-04,4.7130382364e-03,8.9901133729e-06,1.8249919244e-09,1.5091232774e-07,-3.0642934501e-10,2
1.9337639511e-01,2.5622850544e-04,4.6291090785e-03,7.6993500452e-06,1.3654598961e-09,1.1414644610e-07,-4.9832239844e-10,2
1.9306921433e-01,2.3794067394e-04,4.5783564259e-03,6.1665632946e-06,5.7429533416e-10,4.5480974810e-08,-8.6242486938e-10,2
1.9278644061e-01,3.3665867803e-04,4.4854145209e-03,7.5153666306e-06,-4.5527651526e-10,-5.8862806867e-08,1.3025600202e-09,2
2.1673820497e-01,7.6174760243e-05,1.1931962279e-06,5.2285076420e-06,9.9423136748e-12,3.0722813406e-08,-8.4674555078e-12,3
2.1692503278e-01,4.7477071311e-05,3.8537530010e-07,5.4864797291e-06,7.7922564701e-12,3.1427994952e-08,1.7105186981e-12,3
2.1644661349e-01,1.2879198505e-05,3.4543811319e-06,2.0821627788e-06,-3.9318264640e-12,7.4711129757e-09,3.9652845740e-12,3
2.1651731387e-01,1.7549467583e-05,3.4980996495e-06,2.7063619945e-06,1.5859190620e-12,1.1280484935e-08,8.1747060090e-12,3
2.1679177991e-01,4.4882232534e-05,2.5899409240e-06,5.1435336666e-06,1.5884174336e-11,3.3540972222e-08,1.0006219298e-11,3
2.1688063003e-01,4.3360350868e-05,3.1310607824e-06,4.2789699414e-06,6.7919290567e-12,2.7892268981e-08,1.4112982823e-11,3
2.1681918885e-01,1.7998539061e-05,2.3324011070e-06,2.8636033516e-06,-1.3608742058e-12,1.1612479583e-08,7.2744694574e-12,3
2.1765042318e-01,1.8893797582e-04,6.1255886827e-07,7.7682722755e-06,1.3502195666e-11,5.8340024730e-08,-1.0239573409e-11,3
2.1842225228e-01,2.4664655043e-04,1.5505747221e-06,1.5767601291e-05,7.4109005180e-11,1.0265662168e-07,2.4212800762e-11,3
2.1612924349e-01,3.2955998235e-05,5.7258289243e-06,4.3963607662e-06,1.3256063573e-11,-2.0423147628e-08,1.7629989813e-11,3
2.1622237851e-01,3.8081095769e-05,3.4526089138e-06,6.0124904949e-06,2.4711447323e-11,-2.3168119129e-08,1.1822651005e-11,3
2.1621727488e-01,4.5896183593e-05,4.3781004028e-06,7.0818366378e-06,3.8359563619e-11,-3.6048539315e-08,9.1388701006e-12,3
2.1611756250e-01,4.0130568977e-05,1.5875136488e-06,8.5879487846e-06,3.1576488848e-11,-4.4918001917e-08,-2.9041330481e-12,3
2.1646976388e-01,8.5912823197e-05,3.1936577928e-06,1.1214441262e-05,6.0935992319e-11,-9.9451594608e-08,-2.8125478338e-11,3
2.1643617485e-01,8.0270856741e-05,4.3652818921e-06,1.5435152324e-05,1.0678472699e-10,-1.3828000727e-07,-6.8188047712e-11,3
